transaction_id,customer_id,order_date,product_category,product_price,quantity,payment_method,country,discount_percent,shipping_days,customer_age,customer_gender,is_returned
T100000,C2309,25-04-2022,Home,74.07,5,Card,Nigeria,1.49,9,53.0,Female,0
T100001,C1919,27-08-2023,Electronics,84.03,3,Cash,Egypt,5.11,6,56.0,Male,1
T100002,C2098,2022/05/08,Sports,150.12,3,Cash,Nigeria,33.06,2,24.0,Female,1
T100003,C1333,2023/01/15,Home,343.36,2,Cash,NIGERIA,13.5,12,61.0,Male,0
T100004,C2683,2022/02/02,Sports,109.44,3,Cash,NIGERIA,44.23,3,33.0,Female,1
T100005,C2838,2023/08/21,Clothing,73.47,1,Card,Ethiopia,39.6,2,56.0,Female,0
T100006,C2393,2022/04/28,Home,173.39,2,,Ghana,48.59,9,58.0,Male,0
T100007,C1765,2022/06/15,Electronics,246.86,3,Mobile Money,South Africa,43.9,2,70.0,Male,0
T100008,C2351,2023/05/02,Clothing,436.85,2,Cash,NIGERIA,49.76,8,46.0,Male,0
T100009,C1692,2022/01/22,Clothing,8.56,1,Cash,Nigeria,42.98,4,49.0,Male,1
T100010,C1497,2023/04/30,Clothing,331.2,4,Bank Transfer,Nigeria,33.67,2,64.0,Male,0
T100011,C1392,2022/07/14,Clothing,142.88,1,Bank Transfer,ethiopia,4.9,9,23.0,Male,0
T100012,C1832,2023/05/13,Sports,86.5,-4,Mobile Money,Kenya ,14.26,12,53.0,Female,0
T100013,C1388,31-10-2022,Electronics,273.39,1,Card,ethiopia,45.97,1,23.0,Male,0
T100014,C2382,2022/08/29,Clothing,24.67,5,Mobile Money,South Africa,33.49,5,60.0,Female,1
T100015,C2902,16-03-2022,Electronics,110.51,3,Card,Egypt,14.25,9,57.0,Male,1
T100016,C2908,11-11-2023,Clothing,445.41,2,Mobile Money,South Africa,35.88,11,50.0,Male,0
T100017,C2299,2023/03/10,Electronics,16566.79,3,Cash,ethiopia,35.28,2,62.0,Male,1
T100018,C2192,20-07-2023,Clothing,185.5,1,Mobile Money,South Africa,33.35,9,44.0,Male,0
T100019,C2770,2022/06/16,Clothing,17.27,3,Bank Transfer,South Africa,13.34,2,20.0,Male,0
T100020,C2672,2023/04/17,Clothing,331.72,3,Card,Ghana,17.56,11,52.0,Male,0
T100021,C2796,25-09-2022,Home,300.3,3,Bank Transfer,ethiopia,5.78,4,63.0,Male,1
T100022,C1883,2022/03/13,Home,333.38,3,Mobile Money,Egypt,20.12,3,60.0,Male,1
T100023,C1831,2023/07/16,Home,217.79,3,Bank Transfer,South Africa,25.56,13,60.0,Female,0
T100024,C2676,2022/08/29,Clothing,77.94,4,Card,S. Africa,9.72,8,27.0,Male,0
T100025,C2594,12-03-2023,Sports,128.35,4,Cash,ethiopia,49.39,13,57.0,Female,1
T100026,C2837,2022/06/12,Sports,377.13,3,Bank Transfer,Ghana,21.99,4,38.0,Male,0
T100027,C1308,2022/08/25,Clothing,36.79,5,Bank Transfer,South Africa,41.64,13,,Female,1
T100028,C1012,27-12-2022,Sports,476.95,5,Cash,Ghana,,6,69.0,Male,1
T100029,C2883,2022/05/11,Electronics,297.99,1,Bank Transfer,Kenya ,9.09,6,38.0,Female,1
T100030,C2540,08-03-2023,Electronics,375.77,3,Cash,Nigeria,37.71,4,57.0,Male,1
T100031,C2371,2022/04/28,Clothing,131.84,5,Card,Ethiopia,48.24,1,54.0,Female,1
T100032,C2928,23-07-2022,Clothing,387.38,5,Card,S. Africa,39.13,7,22.0,Female,0
T100033,C2739,2023/03/07,Electronics,184.28,4,Cash,ethiopia,48.27,13,67.0,Female,1
T100034,C1660,2022/09/09,Electronics,228.15,5,Bank Transfer,Kenya ,42.55,4,34.0,Female,0
T100035,C2058,15-07-2022,Sports,380.29,4,Bank Transfer,Kenya,14.71,4,55.0,Female,1
T100036,C2527,2023/07/18,Sports,129.44,2,Mobile Money,ethiopia,47.54,4,48.0,Female,0
T100037,C2705,18-07-2022,Home,12.0,3,Card,ethiopia,14.61,11,49.0,Male,1
T100038,C1961,2023/05/06,Clothing,129.98,1,Card,Kenya,28.85,3,54.0,Male,0
T100039,C1242,2023/07/26,Clothing,193.29,3,Bank Transfer,S. Africa,3.01,2,31.0,Female,0
T100040,C1321,03-09-2022,Electronics,207.22,4,,Ghana,35.35,8,32.0,Male,1
T100041,C1235,12-07-2023,Clothing,414.18,2,Mobile Money,S. Africa,46.06,8,62.0,Female,1
T100042,C1896,2022/03/24,Sports,303.84,2,Card,Ghana,28.81,3,59.0,Female,0
T100043,C2198,2023/03/23,Sports,237.66,3,Card,Egypt,20.58,11,70.0,Male,1
T100044,C1180,19-11-2022,Electronics,205.07,1,Bank Transfer,South Africa,25.92,8,66.0,Female,0
T100045,C2899,2022/10/22,Sports,486.71,2,Cash,Nigeria,27.61,14,47.0,Male,1
